"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"248" "orth003" 2 "w1g1p3" "trems1" "8/17/2016" "A" "orth"
"249" "orth024" 1 "w1g1p3" "trems1" "8/17/2016" "A" "orth"
"250" "orth063" 1 "w1g1p3" "trems1" "8/17/2016" "A" "orth"
"251" "orth064" 1 "w1g1p3" "trems1" "8/17/2016" "A" "orth"
"252" "orth065" 1 "w1g1p3" "trems1" "8/17/2016" "A" "orth"
"253" "orth005" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"254" "orth028" 5 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"255" "orth050" 3 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"256" "orth043" 1 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"257" "orth031" 2 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"258" "orth015" 3 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"259" "orth066" 2 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"260" "orth054" 6 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"261" "orth016" 5 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"262" "orth067" 2 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"263" "orth068" 2 "w1g1p3" "trems1" "8/17/2016" "L" "orth"
"264" "orth015" 4 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"265" "orth019" 1 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"266" "orth031" 1 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"267" "orth069" 1 "w1g4p3" "melos1" "7/23/2016" "A" "orth"
"268" "orth016" 1 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"269" "orth050" 1 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"270" "orth018" 1 "w1g4p3" "melos1" "7/23/2016" "L" "orth"
"271" "orth019" 1 "w1g4p3" "melamu" "7/23/2016" "L" "orth"
"272" "orth003" 1 "w1g4p3" "melamu" "7/23/2016" "A" "orth"
"273" "orth024" 1 "w1g4p3" "melamu" "7/23/2016" "A" "orth"
"274" "orth024" 2 "w1g4p3" "tricpl" "7/23/2016" "A" "orth"
"275" "orth034" 2 "w1g4p3" "tricpl" "7/23/2016" "L" "orth"
"276" "orth015" 1 "w1g4p3" "tricpl" "7/23/2016" "L" "orth"
"277" "orth020" 1 "w1g3p2" "homano" "8/5/2016" "L" "orth"
"278" "orth070" 4 "w1g3p2" "homano" "8/5/2016" "L" "orth"
"279" "orth001" 2 "w1g3p2" "ficuco" "8/5/2016" "L" "orth"
"280" "orth028" 2 "w1g3p2" "ficuco" "8/5/2016" "L" "orth"
"281" "orth016" 1 "w1g3p2" "ficuco" "8/5/2016" "L" "orth"
"282" "orth020" 3 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"283" "orth027" 1 "w1g3p2" "piptar" "8/5/2016" "A" "orth"
"284" "orth046" 1 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"285" "orth065" 1 "w1g3p2" "piptar" "8/5/2016" "A" "orth"
"286" "orth071" 5 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"287" "orth012" 1 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"288" "orth042" 2 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"289" "orth008" 1 "w1g3p2" "piptar" "8/5/2016" "L" "orth"
"290" "orth040" 1 "w1g3p2" "piptar" "8/5/2016" "A" "orth"
"291" "orth032" 1 "w1g3p2" "piptar" "8/5/2016" "A" "orth"
"292" "orth018" 1 "w1g3p2" "melamu" "8/5/2016" "L" "orth"
"293" "orth070" 2 "w1g3p2" "melamu" "8/5/2016" "L" "orth"
"294" "orth042" 1 "w1g3p2" "melamu" "8/5/2016" "L" "orth"
"295" "orth052" 1 "w1g3p2" "melamu" "8/5/2016" "L" "orth"
"296" "orth072" 1 "w1g3p2" "melamu" "8/5/2016" "L" "orth"
"297" "orth066" 1 "w1g2p3" "piptar" "8/8/2016" "L" "orth"
"298" "orth016" 1 "w1g2p3" "piptar" "8/8/2016" "L" "orth"
"299" "orth001" 1 "w1g2p3" "pipeum" "8/8/2016" "L" "orth"
"300" "orth063" 1 "w1g2p3" "pipeum" "8/8/2016" "A" "orth"
