morph,nospec,r_cm_size
aran077,3,0.36
aran077,4,0.385
aran077,5,0.91
aran077,6,1.2
aran077,7,1.4
aran077,8,1.1
aran077,9,0.325
aran077,10,0.67
aran077,11,0.355
aran077,12,1.02
aran077,13,1.4
aran077,14,0.78
aran077,15,0.34
aran077,16,0.39
aran077,17,0.39
aran077,18,0.305
aran077,19,0.485
aran077,20,1.2
aran078,1,0.58
aran078,2,0.57
aran078,3,0.62
aran078,4,0.65
aran078,5,0.59
aran078,6,0.51
aran078,7,0.475
aran078,8,0.6
aran078,9,0.75
aran078,10,0.66
aran079,1,0.445
aran079,2,0.475
aran079,3,0.295
aran079,4,0.55
aran079,5,0.35
aran079,6,0.5
aran079,7,0.44
aran079,8,0.77
aran080,1,0.325
aran080,2,0.365
aran080,3,0.22
aran080,4,0.495
aran081,1,0.61
aran081,2,0.55
aran082,1,0.3
aran082,2,0.38
aran082,3,0.63
aran082,4,0.46
aran083,1,0.345
aran083,2,0.61
aran083,3,0.43
aran083,4,0.55
aran084,1,0.68
aran084,2,0.84
aran084,3,0.56
aran084,4,0.58
aran084,5,0.49
aran084,6,0.29
aran085,1,0.365
aran086,1,0.58
aran086,2,0.93
aran086,3,0.455
aran086,4,1.1
aran086,5,0.75
aran086,6,0.44
aran086,7,0.52
aran086,8,0.71
aran086,9,0.53
aran086,10,0.86
aran086,11,0.72
aran086,12,0.53
aran086,13,0.84
aran086,14,0.81
aran086,15,0.77
aran086,16,0.56
aran086,17,1.2
aran086,18,0.93
aran087,1,1.4
aran087,2,1.3
aran087,3,1.3
aran087,4,1.1
aran087,5,0.8
aran087,6,0.81
aran087,7,0.75
aran087,8,0.93
aran088,1,0.69
aran088,2,0.79
aran088,3,0.48
aran088,4,0.87
aran088,5,0.61
aran088,6,0.52
aran088,7,0.6
aran088,8,0.93
aran088,9,0.71
aran088,10,0.4
aran088,11,1.1
aran089,1,0.61
aran089,2,0.55
aran089,3,0.63
aran089,4,0.35
aran089,5,0.225
aran089,6,0.68
aran089,7,0.84
aran089,8,0.6
aran089,9,0.66
aran089,10,0.34
aran089,11,0.4
aran089,12,0.48
aran090,1,0.54
aran090,2,0.56
aran090,3,0.55
aran090,4,0.65
aran090,5,0.5
aran090,6,0.61
aran090,7,0.62
aran090,8,0.54
aran090,9,0.62
aran090,10,0.6
aran090,11,0.59
aran090,12,0.51
aran090,13,0.485
aran090,14,0.69
aran090,15,0.56
aran091,1,0.42
aran091,2,0.58
aran092,1,0.64
aran092,2,0.53
aran092,3,0.57
aran092,4,0.195
aran093,1,0.72
aran093,2,0.64
aran094,1,0.78
aran095,1,0.5
aran095,2,0.51
aran096,1,0.52
aran097,1,1.4
aran098,1,1.3
aran098,2,0.96
aran099,1,0.255
aran099,2,0.225
aran099,3,0.29
aran099,4,0.21
aran099,5,0.215
aran099,6,0.335
aran099,7,0.215
aran099,8,0.27
aran100,1,0.62
aran100,2,0.6
aran101,1,0.52
aran101,2,0.5
aran101,3,0.295
aran102,1,0.59
aran103,1,0.91
aran103,2,0.68
aran104,1,0.475
aran104,2,0.445
aran104,3,0.42
aran104,4,0.63
aran104,5,0.465
aran104,6,0.41
aran104,7,0.34
aran104,8,0.455
aran105,1,0.49
aran106,1,0.9
aran106,2,0.69
aran106,3,0.96
aran106,4,0.91
aran106,5,0.99
aran106,6,0.75
aran106,7,0.9
aran107,1,0.285
aran107,2,0.28
aran107,3,0.235
aran107,4,0.2
aran108,1,0.47
aran109,1,0.25
aran110,1,0.36
aran111,1,0.71
aran112,1,0.72
aran112,2,0.5
aran112,3,0.415
aran113,1,0.46
aran114,1,0.23
aran115,1,0.325
aran115,2,0.52
aran116,1,0.91
aran117,1,0.61
aran117,2,0.62
aran117,3,0.57
aran117,4,0.59
aran118,1,0.61
aran118,2,0.72
aran118,3,0.78
aran118,4,0.56
aran118,5,0.73
aran118,6,0.86
aran118,7,0.8
aran118,8,0.62
aran118,9,0.95
aran119,1,0.74
aran119,2,0.66
aran119,3,0.425
aran119,4,0.61
aran119,5,0.6
aran119,6,0.42
aran120,1,0.72
aran121,1,0.365
aran121,2,0.6
aran122,1,0.6
aran122,2,0.63
aran122,3,0.4
aran122,4,0.36
aran122,5,0.3
aran122,6,0.415
aran122,7,0.415
aran122,8,0.4
aran122,9,0.3
aran122,10,0.66
aran123,1,0.245
aran123,2,0.23
aran124,1,0.67
aran125,1,1.4
aran126,1,0.375
aran127,1,1.5
aran128,1,0.56
aran129,1,0.56
aran130,1,0.26
aran131,1,1.4
aran132,1,0.8
hemi001,1,1
hemi001,2,1.5
hemi001,3,0.77
hemi001,4,0.98
hemi001,5,1
hemi001,6,0.92
hemi001,7,1
hemi001,8,0.55
hemi001,9,1.35
hemi001,10,1.2
hemi001,11,0.45
hemi001,12,1.15
hemi001,13,0.37
hemi001,14,0.7
hemi001,15,1.55
hemi001,16,1.35
hemi001,17,0.84
hemi001,18,0.82
hemi001,19,0.355
hemi001,20,1.3
hemi002,1,1.35
hemi002,2,1.5
hemi002,3,0.81
hemi002,4,0.495
hemi002,5,1.3
hemi002,6,1.25
hemi002,7,1.6
hemi002,8,0.89
hemi002,9,0.8
hemi002,10,1.4
hemi002,11,0.5
hemi002,12,1.2
hemi002,13,0.95
hemi002,14,1.1
hemi002,15,1.15
hemi002,16,1
hemi002,17,0.75
hemi002,18,0.49
hemi002,19,0.61
hemi002,20,0.84
hemi003,1,0.59
hemi003,2,0.86
hemi003,3,0.9
hemi003,4,0.6
hemi003,5,0.98
hemi003,6,0.94
hemi003,7,0.52
hemi003,8,0.91
hemi003,9,1.05
hemi003,10,0.9
hemi003,11,1
hemi003,12,0.9
hemi003,13,0.91
hemi003,14,1.1
hemi003,15,1
hemi003,16,0.82
hemi003,17,0.91
hemi003,18,1.1
hemi003,19,1
hemi003,20,0.83
hemi004,1,1.5
hemi004,2,1.5
hemi004,3,1.5
hemi004,4,1.5
hemi004,5,1.6
hemi004,6,1.65
hemi004,7,1.65
hemi005,1,1.7
hemi005,2,2.2
hemi005,3,1.7
hemi006,1,0.345
hemi006,2,0.49
hemi006,3,0.385
hemi006,4,0.475
hemi006,5,0.53
hemi006,6,0.53
hemi006,7,0.56
hemi006,8,0.54
hemi006,9,0.52
hemi006,10,0.455
hemi006,11,0.385
hemi006,12,0.56
hemi006,13,0.51
hemi006,14,0.5
hemi006,15,0.52
hemi006,16,0.5
hemi006,17,0.375
hemi006,18,0.52
hemi006,19,0.5
hemi006,20,0.4
hemi007,1,0.42
hemi007,2,0.475
hemi007,3,0.505
hemi008,1,0.35
hemi008,2,0.375
hemi008,3,0.26
hemi008,4,0.355
hemi008,5,0.37
hemi008,6,0.56
hemi008,7,0.49
hemi008,8,0.2
hemi008,9,0.43
hemi008,10,0.37
hemi008,11,0.395
hemi008,12,0.55
hemi008,13,0.58
