"morphotype" "no" "size" "scale" "scl" "notes" "NA" "nscl" "rsize"
"267" "aran009" 2 7.2 "" 0.5 "" "aran" 20 0.36
"268" "aran009" 3 8.6 "1 cm" 1 "" "aran" 10 0.86
"269" "aran009" 4 5.9 "1 cm" 1 "" "aran" 10 0.59
"270" "aran009" 5 8.6 "" 0.5 "" "aran" 20 0.43
"271" "aran009" 6 8.2 "1 cm" 1 "" "aran" 10 0.82
"272" "aran009" 7 7.6 "1 cm" 1 "" "aran" 10 0.76
"273" "aran009" 8 8.8 "" 0.5 "" "aran" 20 0.44
"274" "aran009" 9 1.2 "cm" 1 "" "aran" 1 1.2
"275" "aran009" 10 8 "" 0.5 "" "aran" 20 0.4
"276" "aran009" 11 1.1 "cm" 1 "" "aran" 1 1.1
"277" "aran009" 12 5.4 "1 cm" 1 "" "aran" 10 0.54
"278" "aran009" 13 7 "1 cm" 1 "" "aran" 10 0.7
"279" "aran009" 14 8.6 "1 cm" 1 "" "aran" 10 0.86
"280" "aran009" 15 5.6 "" 0.5 "" "aran" 20 0.28
"281" "aran009" 16 8.4 "" 0.5 "" "aran" 20 0.42
"282" "aran009" 17 9.4 "1 cm" 1 "" "aran" 10 0.94
"283" "aran009" 18 7.7 "1 cm" 1 "" "aran" 10 0.77
"284" "aran009" 19 5 "1 cm" 1 "" "aran" 10 0.5
"285" "aran009" 20 9.2 "1 cm" 1 "" "aran" 10 0.92
"286" "aran010" 1 7.4 "" 0.5 "" "aran" 20 0.37
"287" "aran010" 2 7.6 "" 0.5 "" "aran" 20 0.38
"288" "aran010" 3 5.4 "" 0.5 "" "aran" 20 0.27
"289" "aran010" 4 10.3 "" 0.5 "" "aran" 20 0.515
"290" "aran010" 5 5 "" 0.5 "" "aran" 20 0.25
"291" "aran010" 6 8.9 "" 0.5 "" "aran" 20 0.445
"292" "aran010" 7 7.6 "" 0.5 "" "aran" 20 0.38
"293" "aran011" 1 6.5 "1 cm" 1 "" "aran" 10 0.65
"294" "aran011" 2 5.2 "1 cm" 1 "" "aran" 10 0.52
"295" "aran011" 3 8.5 "" 0.5 "" "aran" 20 0.425
"296" "aran011" 4 6.4 "" 0.5 "" "aran" 20 0.32
"297" "aran011" 5 5.4 "1 cm" 1 "" "aran" 10 0.54
"298" "aran011" 6 7.5 "" 0.5 "" "aran" 20 0.375
"299" "aran011" 7 6.7 "" 0.5 "" "aran" 20 0.335
"300" "aran011" 8 8.1 "1 cm" 1 "" "aran" 10 0.81
"301" "aran011" 9 8.9 "" 0.5 "" "aran" 20 0.445
"302" "aran011" 10 5.6 "1 cm" 1 "" "aran" 10 0.56
"303" "aran011" 11 5 "1 cm" 1 "" "aran" 10 0.5
"304" "aran011" 12 7.1 "1 cm" 1 "" "aran" 10 0.71
"305" "aran011" 13 6.1 "1 cm" 1 "" "aran" 10 0.61
"306" "aran011" 14 5.3 "" 0.5 "" "aran" 20 0.265
"307" "aran011" 15 9.6 "" 0.5 "" "aran" 20 0.48
"308" "aran011" 16 5.7 "1 cm" 1 "" "aran" 10 0.57
"309" "aran011" 17 5.5 "1 cm" 1 "" "aran" 10 0.55
"310" "aran011" 18 5.7 "1 cm" 1 "" "aran" 10 0.57
"311" "aran011" 19 7.5 "1 cm" 1 "" "aran" 10 0.75
"312" "aran011" 20 5.5 "1 cm" 1 "" "aran" 10 0.55
"313" "aran012" 1 5.9 "1 cm" 1 "" "aran" 10 0.59
"314" "aran012" 2 8.3 "" 0.5 "" "aran" 20 0.415
"315" "aran012" 3 7.4 "" 0.5 "" "aran" 20 0.37
"316" "aran012" 4 9.9 "" 0.5 "" "aran" 20 0.495
"317" "aran012" 5 8 "" 0.5 "" "aran" 20 0.4
"318" "aran012" 6 4.7 "" 0.5 "" "aran" 20 0.235
"319" "aran012" 7 4.8 "" 0.5 "" "aran" 20 0.24
"320" "aran012" 8 6.8 "" 0.5 "" "aran" 20 0.34
"321" "aran012" 9 5.4 "1 cm" 1 "" "aran" 10 0.54
"322" "aran012" 10 7.4 "" 0.5 "" "aran" 20 0.37
"323" "aran013" 1 8.5 "1 cm" 1 "" "aran" 10 0.85
"324" "aran013" 2 8.8 "1 cm" 1 "" "aran" 10 0.88
"325" "aran013" 3 9.1 "1 cm" 1 "" "aran" 10 0.91
"326" "aran013" 4 10 "1 cm" 1 "" "aran" 10 1
"327" "aran013" 5 1.1 "cm" 1 "" "aran" 1 1.1
"328" "aran013" 6 9.5 "1 cm" 1 "" "aran" 10 0.95
"329" "aran013" 7 7 "1 cm" 1 "" "aran" 10 0.7
"330" "aran013" 8 9.8 "1 cm" 1 "" "aran" 10 0.98
