"morph" "size" "group" "a" "b" "bio"
"175" "cole051" 0.63 "cole" -3.2 2.56 0.01249020206832
"176" "cole052" 0.416 "cole" -3.2 2.56 0.00431654809627896
"177" "cole054" 0.53 "cole" -3.2 2.56 0.00802423952708767
"178" "cole055" 0.46 "cole" -3.2 2.56 0.00558364382142749
"179" "cole056" 0.7025 "cole" -3.2 2.56 0.0165071561324403
"180" "cole057" 0.6 "cole" -3.2 2.56 0.011023635859812
"181" "cole058" 0.4 "cole" -3.2 2.56 0.00390419261574929
"182" "cole059" 0.47175 "cole" -3.2 2.56 0.00595607481761367
"183" "cole060" 1.874 "cole" -3.2 2.56 0.203492215189055
"184" "cole061" 1.07222222222222 "cole" -3.2 2.56 0.0487289166196035
"185" "cole062" 0.486666666666667 "cole" -3.2 2.56 0.00645016102386004
"186" "cole063" 0.3825 "cole" -3.2 2.56 0.00348172241141612
"187" "cole064" 0.79 "cole" -3.2 2.56 0.0222937440931186
"188" "cole065" 3.1 "cole" -3.2 2.56 0.738148249419751
"189" "cole066" 1.02 "cole" -3.2 2.56 0.0428819076920686
"190" "cole067" 0.99 "cole" -3.2 2.56 0.0397268157431084
"191" "cole068" 0.358333333333333 "cole" -3.2 2.56 0.00294600116542363
"192" "cole069" 0.56 "cole" -3.2 2.56 0.00923887320895458
"193" "cole070" 0.778571428571429 "cole" -3.2 2.56 0.0214774007758727
"194" "cole071" 1.28 "cole" -3.2 2.56 0.0766858401949174
"195" "cole072" 0.24 "cole" -3.2 2.56 0.00105584079176457
"196" "cole073" 0.63 "cole" -3.2 2.56 0.01249020206832
"197" "cole074" 0.39 "cole" -3.2 2.56 0.0036591739197236
"198" "cole075" 0.694 "cole" -3.2 2.56 0.0160006601967483
"199" "cole076" 0.653333333333333 "cole" -3.2 2.56 0.0137089056829339
"200" "cole077" 0.9 "cole" -3.2 2.56 0.0311256537598901
"201" "cole078" 0.75 "cole" -3.2 2.56 0.0195170642667864
"202" "cole079" 1.12 "cole" -3.2 2.56 0.0544823454976688
"203" "cole080" 0.825 "cole" -3.2 2.56 0.0249103463642643
"204" "cole081" 0.2675 "cole" -3.2 2.56 0.0013938195476049
