"morph" "size" "group" "a" "b" "bio"
"291" "hemi022" 0.335 "hemi" -3.01 2.59 1.12885889572968
"292" "hemi023" 0.568684210526316 "hemi" -3.01 2.59 4.44518602643603
"293" "hemi024" 1.4 "hemi" -3.01 2.59 45.8400646939018
"294" "hemi025" 1.42941176470588 "hemi" -3.01 2.59 48.3761332361779
"295" "hemi026" 0.73 "hemi" -3.01 2.59 8.48750058423657
"296" "hemi027" 0.2775 "hemi" -3.01 2.59 0.693146040905974
"297" "hemi028" 0.9915 "hemi" -3.01 2.59 18.7573615902145
"298" "hemi029" 1.6 "hemi" -3.01 2.59 64.7805102648611
"299" "hemi030" 1.01454545454545 "hemi" -3.01 2.59 19.907504333187
"300" "hemi031" 0.64875 "hemi" -3.01 2.59 6.25250431313018
"301" "hemi032" 1.35 "hemi" -3.01 2.59 41.7194015379173
"302" "hemi033" 1.6 "hemi" -3.01 2.59 64.7805102648611
"303" "hemi034" 0.50875 "hemi" -3.01 2.59 3.33134846507344
"304" "hemi035" 0.762857142857143 "hemi" -3.01 2.59 9.51265051568291
"305" "hemi036" 0.663333333333333 "hemi" -3.01 2.59 6.623065157584
"306" "hemi037" 1.61666666666667 "hemi" -3.01 2.59 66.5427374076224
"307" "hemi038" 0.5725 "hemi" -3.01 2.59 4.52284944339065
"308" "hemi039" 0.41025 "hemi" -3.01 2.59 1.90796084039534
"309" "hemi040" 1.5 "hemi" -3.01 2.59 54.8087592141217
"310" "hemi041" 0.94 "hemi" -3.01 2.59 16.3370918334816
"311" "hemi042" 0.82 "hemi" -3.01 2.59 11.469684905289
"312" "hemi043" 0.69 "hemi" -3.01 2.59 7.33487563214923
"313" "hemi044" 0.92 "hemi" -3.01 2.59 15.4519780411537
"314" "hemi045" 1.23357142857143 "hemi" -3.01 2.59 33.0285228798733
"315" "hemi046" 0.7 "hemi" -3.01 2.59 7.6133804595067
"316" "hemi047" 2.05454545454545 "hemi" -3.01 2.59 123.796228034501
"317" "hemi048" 1.8 "hemi" -3.01 2.59 87.8879627663271
"318" "hemi049" 0.67 "hemi" -3.01 2.59 6.79684472433258
"319" "hemi050" 1.4 "hemi" -3.01 2.59 45.8400646939018
"320" "hemi051" 2.075 "hemi" -3.01 2.59 127.013677675606
"321" "hemi052" 0.74 "hemi" -3.01 2.59 8.79192072678737
"322" "hemi053" 0.7 "hemi" -3.01 2.59 7.6133804595067
"323" "hemi054" 2 "hemi" -3.01 2.59 115.462590821234
"324" "hemi055" 1.47777777777778 "hemi" -3.01 2.59 52.7304235950348
"325" "hemi056" 2.3 "hemi" -3.01 2.59 165.824503163321
"326" "hemi057" 0.55 "hemi" -3.01 2.59 4.07673963095559
"327" "hemi058" 0.92 "hemi" -3.01 2.59 15.4519780411537
"328" "hemi059" 0.453181818181818 "hemi" -3.01 2.59 2.46898997288177
"329" "hemi060" 2.3 "hemi" -3.01 2.59 165.824503163321
"330" "hemi061" 0.785714285714286 "hemi" -3.01 2.59 10.2685483329249
"331" "hemi062" 1.15 "hemi" -3.01 2.59 27.5410831228384
"332" "hemi063" 0.9 "hemi" -3.01 2.59 14.5969361696827
"333" "hemi064" 0.4 "hemi" -3.01 2.59 1.78693595350095
"334" "hemi065" 1.4 "hemi" -3.01 2.59 45.8400646939018
"335" "hemi066" 1.85 "hemi" -3.01 2.59 94.3514081166769
"336" "hemi067" 1.5 "hemi" -3.01 2.59 54.8087592141217
"337" "hemi068" 0.975 "hemi" -3.01 2.59 17.9595546927305
"338" "hemi069" 1.03 "hemi" -3.01 2.59 20.7024632061929
"339" "hemi070" 0.85 "hemi" -3.01 2.59 12.5883447176989
"340" "hemi071" 0.85 "hemi" -3.01 2.59 12.5883447176989
"341" "hemi072" 1.15 "hemi" -3.01 2.59 27.5410831228384
"342" "hemi073" 0.4225 "hemi" -3.01 2.59 2.05904006327934
"343" "hemi074" 1.5 "hemi" -3.01 2.59 54.8087592141217
"344" "hemi075" 1.5 "hemi" -3.01 2.59 54.8087592141217
"345" "hemi076" 1.56666666666667 "hemi" -3.01 2.59 61.3427175505527
"346" "hemi077" 0.976666666666667 "hemi" -3.01 2.59 18.0391760276519
"347" "hemi078" 0.824 "hemi" -3.01 2.59 11.6151570885247
"348" "hemi079" 2.1 "hemi" -3.01 2.59 131.015169434051
"349" "hemi080" 1.7 "hemi" -3.01 2.59 75.7942597664224
"350" "hemi081" 0.4845 "hemi" -3.01 2.59 2.93551634759716
"351" "hemi082" 0.33 "hemi" -3.01 2.59 1.08573718921449
"352" "hemi083" 0.645 "hemi" -3.01 2.59 6.15932712603086
"353" "hemi084" 0.465 "hemi" -3.01 2.59 2.63922707260342
"354" "hemi085" 1.4 "hemi" -3.01 2.59 45.8400646939018
"355" "hemi086" 1.15 "hemi" -3.01 2.59 27.5410831228384
"356" "hemi087" 0.68 "hemi" -3.01 2.59 7.06271519114861
"357" "hemi088" 1.7 "hemi" -3.01 2.59 75.7942597664224
"358" "hemi089" 0.94 "hemi" -3.01 2.59 16.3370918334816
"359" "hemi090" 0.95 "hemi" -3.01 2.59 16.7910458363609
"360" "hemi091" 0.455 "hemi" -3.01 2.59 2.49472757127927
"361" "hemi092" 0.705 "hemi" -3.01 2.59 7.75502893354111
"362" "hemi093" 0.46 "hemi" -3.01 2.59 2.56635300287647
"363" "hemi094" 0.46225 "hemi" -3.01 2.59 2.59899133656924
"364" "homo001" 0.679 "homo" -3.2 2.35 3.67410554046507
"365" "homo002" 0.585 "homo" -3.2 2.35 2.58865362313686
"366" "homo003" 0.49675 "homo" -3.2 2.35 1.76271323766096
"367" "homo004" 0.7555 "homo" -3.2 2.35 4.72181164926667
"368" "homo005" 0.692 "homo" -3.2 2.35 3.84155433188636
"369" "homo006" 0.5275 "homo" -3.2 2.35 2.02992713130591
"370" "homo007" 0.595 "homo" -3.2 2.35 2.69384452828302
"371" "homo008" 0.9575 "homo" -3.2 2.35 8.24012494806691
"372" "homo009" 0.63 "homo" -3.2 2.35 3.08111528969412
"373" "homo010" 0.64 "homo" -3.2 2.35 3.19727945329196
"374" "homo011" 0.525 "homo" -3.2 2.35 2.00739122290506
"375" "homo012" 0.81 "homo" -3.2 2.35 5.56157056973325
"376" "homo013" 0.716 "homo" -3.2 2.35 4.1620113510966
"377" "homo014" 0.795 "homo" -3.2 2.35 5.32255809316997
"378" "homo015" 0.99 "homo" -3.2 2.35 8.91251687619002
"379" "homo016" 0.689285714285714 "homo" -3.2 2.35 3.80623817224373
"380" "homo017" 0.713333333333333 "homo" -3.2 2.35 4.12567560083024
"381" "homo018" 0.555 "homo" -3.2 2.35 2.2874213389502
"382" "homo019" 0.755 "homo" -3.2 2.35 4.71447127812583
"383" "homo020" 0.79 "homo" -3.2 2.35 5.24422507133192
"384" "homo021" 0.5003125 "homo" -3.2 2.35 1.79256469596148
"385" "homo022" 0.61 "homo" -3.2 2.35 2.85616156218905
"386" "homo023" 0.52 "homo" -3.2 2.35 1.96275239266068
"387" "homo024" 0.39 "homo" -3.2 2.35 0.998296352726018
"388" "homo025" 0.6 "homo" -3.2 2.35 2.74734434586913
"389" "lepi001" 0.485 "lepi" -5.44 2.55 0.243264900865744
"390" "lepi002" 0.62 "lepi" -5.44 2.55 0.455026643196451
"391" "lepi003" 1.295 "lepi" -5.44 2.55 2.97663735721398
"392" "lepi004" 0.9235 "lepi" -5.44 2.55 1.25690401311454
"393" "lepi005" 1.4855 "lepi" -5.44 2.55 4.22389673007271
"394" "lepi006" 2.82 "lepi" -5.44 2.55 21.6557507721751
