"morph" "nospec" "r_cm_size"
"412" "aran019" 11 0.54
"413" "aran019" 12 0.23
"414" "aran019" 13 0.355
"415" "aran019" 14 0.375
"416" "aran019" 15 0.6
"417" "aran019" 16 0.445
"418" "aran019" 17 0.485
"419" "aran019" 18 0.53
"420" "aran019" 19 0.475
"421" "aran019" 20 0.275
"422" "aran020" 1 0.325
"423" "aran020" 2 0.33
"424" "aran020" 3 0.28
"425" "aran020" 4 0.325
"426" "aran020" 5 0.335
"427" "aran020" 6 0.265
"428" "aran020" 7 0.285
"429" "aran020" 8 0.225
"430" "aran020" 9 0.22
"431" "aran020" 10 0.355
"432" "aran020" 11 0.235
"433" "aran020" 12 0.28
"434" "aran020" 13 0.23
"435" "aran021" 1 0.225
"436" "aran021" 2 0.65
"437" "aran021" 3 0.34
"438" "aran021" 4 0.56
"439" "aran021" 5 0.37
"440" "aran021" 6 0.4
"441" "aran021" 7 0.33
"442" "aran021" 8 0.54
"443" "aran021" 9 0.43
"444" "aran021" 10 0.34
"445" "aran021" 11 0.435
"446" "aran021" 12 0.37
"447" "aran021" 13 0.35
"448" "aran021" 14 0.79
"449" "aran021" 15 0.7
"450" "aran021" 16 0.37
"451" "aran021" 17 0.395
"452" "aran021" 18 0.5
"453" "aran021" 19 0.44
"454" "aran021" 20 0.425
"455" "aran022" 1 0.62
"456" "aran022" 2 0.445
"457" "aran022" 3 0.32
"458" "aran022" 4 0.455
"459" "aran022" 5 0.345
"460" "aran022" 6 0.325
"461" "aran022" 7 0.405
"462" "aran022" 8 0.3
"463" "aran022" 9 0.245
"464" "aran022" 10 0.415
"465" "aran022" 11 0.24
"466" "aran022" 12 0.295
"467" "aran022" 13 0.445
"468" "aran022" 14 0.56
"469" "aran022" 15 0.59
"470" "aran022" 16 0.46
"471" "aran022" 17 0.42
"472" "aran022" 18 0.4
"473" "aran022" 19 0.335
"474" "aran022" 20 0.19
"475" "aran023" 1 0.23
"476" "aran023" 2 0.375
"477" "aran023" 3 0.17
"478" "aran023" 4 0.3
"479" "aran023" 5 0.24
"480" "aran023" 6 0.245
"481" "aran023" 7 0.275
"482" "aran023" 8 0.275
"483" "aran023" 9 0.245
"484" "aran023" 10 0.255
"485" "aran024" 1 0.295
"486" "aran024" 2 0.325
"487" "aran024" 3 0.72
"488" "aran024" 4 0.485
"489" "aran024" 5 0.34
"490" "aran024" 6 0.4
"491" "aran024" 7 0.46
"492" "aran024" 8 0.58
"493" "aran024" 9 0.42
"494" "aran024" 10 0.315
"495" "aran024" 11 0.6
"496" "aran024" 12 0.63
"497" "aran024" 13 0.355
"498" "aran024" 14 0.39
"499" "aran024" 15 0.355
"500" "aran024" 16 0.56
"501" "aran024" 17 0.395
"502" "aran024" 18 0.63
"503" "aran024" 19 0.55
"504" "aran024" 20 0.59
"505" "aran025" 1 0.63
"506" "aran025" 2 0.76
"507" "aran025" 3 0.81
"508" "aran025" 4 0.59
"509" "aran025" 5 0.98
"510" "aran025" 6 0.75
"511" "aran025" 7 0.51
"512" "aran025" 8 0.43
"513" "aran025" 9 0.39
"514" "aran025" 10 0.61
"515" "aran025" 11 0.91
"516" "aran025" 12 0.63
"517" "aran025" 13 0.88
"518" "aran025" 14 0.58
"519" "aran025" 15 0.78
"520" "aran025" 16 0.5
"521" "aran025" 17 0.42
"522" "aran025" 18 0.67
"523" "aran025" 19 0.92
"524" "aran025" 20 0.76
"525" "aran026" 1 0.37
"526" "aran026" 2 0.475
"527" "aran027" 1 0.34
"528" "aran028" 1 0.295
"529" "aran028" 2 0.225
"530" "aran028" 3 0.245
"531" "aran029" 1 0.355
"532" "aran029" 2 0.475
"533" "aran029" 3 0.375
"534" "aran029" 4 0.66
"535" "aran029" 5 0.55
"536" "aran029" 6 0.61
"537" "aran030" 1 3
"538" "aran030" 2 4
"539" "aran031" 1 0.69
"540" "aran031" 2 0.64
"541" "aran031" 3 0.73
"542" "aran031" 4 0.81
"543" "aran031" 5 0.82
"544" "aran031" 6 0.68
"545" "aran031" 7 0.72
"546" "aran032" 1 0.54
"547" "aran032" 2 0.185
"548" "aran032" 3 0.405
"549" "aran032" 4 0.41
"550" "aran032" 5 0.335
"551" "aran032" 6 0.465
"552" "aran032" 7 0.465
"553" "aran032" 8 0.415
"554" "aran032" 9 0.44
"555" "aran032" 10 0.48
"556" "aran032" 11 0.42
"557" "aran032" 12 0.425
"558" "aran032" 13 0.5
"559" "aran032" 14 0.54
"560" "aran032" 15 0.46
"561" "aran032" 16 0.455
"562" "aran032" 17 0.32
"563" "aran032" 18 0.46
"564" "aran032" 19 0.38
"565" "aran032" 20 0.465
"566" "aran033" 1 0.88
"567" "aran032" 2 0.54
"568" "aran032" 3 0.96
"569" "aran032" 4 0.64
"570" "aran032" 5 1.3
"571" "aran032" 6 0.84
"572" "aran032" 7 1
"573" "aran034" 1 0.53
"574" "aran034" 2 0.64
"575" "aran034" 3 0.65
"576" "aran034" 4 0.71
"577" "aran034" 5 0.58
"578" "aran034" 6 0.73
"579" "aran034" 7 0.45
"580" "aran034" 8 0.26
"581" "aran034" 9 0.22
"582" "aran034" 10 0.82
"583" "aran034" 11 0.72
"584" "aran034" 12 0.73
"585" "aran034" 13 0.59
"586" "aran034" 14 0.44
"587" "aran034" 15 0.71
"588" "aran034" 16 0.68
"589" "aran034" 17 0.5
"590" "aran034" 18 0.6
"591" "aran034" 19 0.57
"592" "aran034" 20 0.52
"593" "aran035" 1 0.62
