morphotype,amount,plot,tree,date,adult/larvae
orth070,2,w1g3p2,melamu,8/5/2016,L
orth042,1,w1g3p2,melamu,8/5/2016,L
orth052,1,w1g3p2,melamu,8/5/2016,L
orth072,1,w1g3p2,melamu,8/5/2016,L
orth066,1,w1g2p3,piptar,8/8/2016,L
orth016,1,w1g2p3,piptar,8/8/2016,L
orth001,1,w1g2p3,pipeum,8/8/2016,L
orth063,1,w1g2p3,pipeum,8/8/2016,A
orth064,1,w1g2p3,pipeum,8/8/2016,A
orth073,1,w1g2p3,pipeum,8/8/2016,A
orth015,1,w1g2p3,pipeum,8/8/2016,L
orth002,3,w1g2p3,tremor,8/8/2016,L
orth011,2,w1g2p3,tremor,8/8/2016,L
orth019,1,w1g2p3,tremor,8/8/2016,L
orth008,3,w1g2p3,tremor,8/8/2016,L
orth074,2,w1g2p3,tremor,8/8/2016,L
orth066,1,w1g2p3,tremor,8/8/2016,L
orth001,3,w1g3p1,melamu,8/3/2016,L
orth014,1,w1g3p1,melamu,8/3/2016,A
orth028,1,w1g3p1,melamu,8/3/2016,L
orth065,1,w1g3p1,piptar,8/3/2016,A
orth051,1,w1g3p1,piptar,8/3/2016,L
orth033,5,w1g3p1,piptar,8/3/2016,L
orth071,2,w1g3p1,piptar,8/3/2016,L
orth042,2,w1g3p1,piptar,8/3/2016,L
orth060,1,w1g3p1,piptar,8/3/2016,A
orth032,3,w1g3p1,piptar,8/3/2016,A
orth015,2,w1g3p1,piptar,8/3/2016,L
orth002,1,w1g3p1,piptar,8/3/2016,A
orth009,1,w1g3p1,piptar,8/3/2016,L
orth074,1,w1g3p1,piptar,8/3/2016,L
orth075,1,w1g3p1,piptar,8/3/2016,L
orth045,2,w1g3p1,piptar,8/3/2016,L
orth024,1,w1g3p1,piptar,8/3/2016,L
orth003,1,w1g3p1,piptar,8/3/2016,A
orth004,1,w1g3p1,piptar,8/3/2016,L
orth049,1,w1g3p1,piptar,8/3/2016,A
orth037,1,w1g3p1,piptar,8/3/2016,L
orth020,1,w1g3p1,piptar,8/3/2016,L
orth058,1,w1g3p1,piptar,8/3/2016,L
orth007,3,w1g3p1,piptar,8/3/2016,L
orth025,5,w1g3p1,piptar,8/3/2016,L
orth028,7,w1g3p1,piptar,8/3/2016,L
orth076,3,w1g3p1,piptar,8/3/2016,L
orth016,1,w1g2p5,sida,8/12/2016,L
orth012,1,w1g2p5,sida,8/12/2016,L
orth041,2,w1g2p5,piptar,8/12/2016,A
orth058,3,w1g2p5,piptar,8/12/2016,L
orth013,5,w1g2p5,piptar,8/12/2016,L
orth023,1,w1g2p5,piptar,8/12/2016,A
orth020,6,w1g2p5,piptar,8/12/2016,L
orth063,1,w1g2p5,piptar,8/12/2016,A
orth077,1,w1g2p5,piptar,8/12/2016,L
orth078,1,w1g2p5,piptar,8/12/2016,L
orth033,2,w1g2p5,piptar,8/12/2016,L
orth024,1,w1g2p5,piptar,8/12/2016,L
orth003,1,w1g2p5,piptar,8/12/2016,A
orth004,1,w1g2p5,piptar,8/12/2016,L
orth021,2,w1g2p5,piptar,8/12/2016,L
orth076,1,w1g2p5,piptar,8/12/2016,L
orth015,10,w1g2p5,piptar,8/12/2016,L
orth079,3,w1g2p5,piptar,8/12/2016,L
orth006,1,w1g2p5,piptar,8/12/2016,L
orth018,1,w1g1p4,cordte,8/20/2016,L
orth028,1,w1g1p4,cordte,8/20/2016,L
orth016,1,w1g1p4,cordte,8/20/2016,L
orth052,2,w1g1p4,piptar,8/20/2016,L
orth020,8,w1g1p4,piptar,8/20/2016,L
orth035,1,w1g1p4,piptar,8/20/2016,L
orth008,1,w1g1p4,piptar,8/20/2016,L
orth070,2,w1g1p4,commba,8/20/2016,L
orth020,1,w1g1p4,commba,8/20/2016,L
orth052,1,w1g1p4,commba,8/20/2016,L
orth006,1,w1g1p4,commba,8/20/2016,A
orth032,1,w1g1p4,commba,8/20/2016,A
orth074,1,w1g1p4,trems1,8/20/2016,L
orth015,11,w1g1p4,trems1,8/20/2016,L
orth020,4,w1g1p4,trems1,8/20/2016,L
orth043,1,w1g1p4,trems1,8/20/2016,L
orth013,1,w1g1p4,trems1,8/20/2016,L
orth007,1,w1g1p4,trems1,8/20/2016,L
orth006,1,w1g1p4,trems1,8/20/2016,L
orth028,1,w1g1p4,trems1,8/20/2016,L
orth001,2,w1g3p4,melamu,7/30/2016,L
