Morphotype,Nr. of specimen,Size,Scale,scl
lepi054,1,0.72,cm,2
lepi055,1,0.74,cm,2
lepi055,2,0.72,cm,2
lepi055,3,0.63,cm,2
lepi056,1,0.75,cm,2
lepi056,2,0.82,cm,2
lepi056,3,0.52,cm,2
lepi057,1,0.64,cm,2
lepi058,1,0.48,cm,2
lepi059,1,3.5,cm,1
lepi059,2,2.1,cm,1
lepi059,3,2.9,cm,1
lepi060,1,2.45,cm,1
lepi060,2,2.9,cm,1
lepi060,3,2.6,cm,1
lepi061,1,0.72,cm,2
lepi061,2,0.72,cm,2
lepi061,3,0.70,cm,2
lepi061,4,0.71,cm,2
lepi061,5,0.68,cm,2
lepi061,6,0.50,cm,2
lepi061,7,0.52,cm,2
lepi061,8,0.58,cm,2
lepi061,9,0.72,cm,2
lepi061,10,0.71,cm,2
lepi061,11,0.73,cm,2
lepi061,12,0.54,cm,2
lepi061,13,0.86,cm,2
lepi061,14,0.58,cm,2
lepi061,15,0.52,cm,2
lepi062,1,0.74,cm,1
lepi063,1,0.54,cm,2
lepi064,1,2.45,cm,1
lepi064,2,3.05,cm,1
lepi065,1,0.68,cm,2
lepi066,1,0.47,cm,2
lepi067,1,0.55,cm,2
lepi068,1,0.72,cm,1
lepi069,1,0.45,cm,2
lepi069,2,0.41,cm,2
lepi069,3,0.38,cm,2
lepi069,4,0.50,cm,2
lepi069,5,0.45,cm,2
lepi069,6,0.57,cm,2
lepi069,7,0.53,cm,2
lepi069,8,0.41,cm,2
lepi069,9,0.53,cm,2
lepi069,10,0.42,cm,2
lepi069,11,0.43,cm,2
lepi069,12,0.42,cm,2
lepi069,13,0.52,cm,2
lepi069,14,0.50,cm,2
lepi069,15,0.39,cm,2
lepi069,16,0.43,cm,2
lepi069,17,0.50,cm,2
lepi069,18,0.43,cm,2
lepi070,1,0.72,cm,2
lepi070,2,0.71,cm,2
lepi070,3,0.61,cm,2
lepi070,4,0.72,cm,2
lepi070,5,0.77,cm,2
lepi070,6,0.63,cm,2
lepi070,7,0.60,cm,2
lepi070,8,0.75,cm,2
lepi070,9,0.70,cm,2
lepi070,10,0.65,cm,2
lepi070,11,0.68,cm,2
lepi070,12,0.71,cm,2
lepi070,13,0.76,cm,2
lepi070,14,0.71,cm,2
lepi070,15,0.79,cm,2
lepi070,16,0.77,cm,2
lepi070,17,0.64,cm,2
lepi070,18,0.80,cm,2
lepi070,19,0.62,cm,2
lepi070,20,0.69,cm,2
lepi071,1,0.90,cm,1
lepi072,1,0.73,cm,1
lepi072,2,0.82,cm,1
lepi072,3,0.85,cm,1
lepi072,4,0.77,cm,1
lepi072,5,0.40,cm,1
lepi073,1,0.31,cm,1
lepi073,2,0.48,cm,1
lepi074,1,0.69,cm,1
lepi075,1,4.0,cm,1
lepi077,1,2.0,cm,1
lepi078,1,0.41,cm,2
lepi079,1,0.42,cm,2
lepi079,2,0.38,cm,2
lepi079,3,0.44,cm,2
lepi079,4,0.50,cm,2
lepi079,5,0.31,cm,2
lepi079,6,0.54,cm,2
lepi079,7,0.49,cm,2
lepi079,8,0.62,cm,2
lepi079,9,0.45,cm,2
lepi079,10,0.56,cm,2
lepi079,11,0.28,cm,2
lepi079,12,0.59,cm,2
lepi079,13,0.47,cm,2
lepi079,14,0.52,cm,2
lepi079,15,0.50,cm,2
lepi079,16,0.36,cm,2
lepi079,17,0.50,cm,2
lepi079,18,0.53,cm,2
lepi079,19,0.57,cm,2
lepi079,20.0.58,cm,2
lepi080,1,0.44,cm,2
lepi080,2,0.46,cm,2
lepi081,1,3.6,cm,1
lepi081,2,3.6,cm,1
lepi082,1,4.6,cm,1
lepi083,1,2.2,cm,1
lepi084,1,0.74,cm,2
lepi084,2,0.71,cm,1
lepi085,1,0.81,cm,1
lepi086,1,2.15,cm,1
lepi086,2,2.15,cm,1
lepi086,3,2.10,cm,1
lepi086,4,0.77,cm,2
lepi086,5,0.60,cm,1
lepi086,6,0.87,cm,2
lepi086,7,0.84,cm,2
lepi086,8,0.90,cm,2
lepi086,9,0.92,cm,2
lepi086,10,0.84,cm,2
lepi087,1,3.9,cm,1
lepi088,1,0.89,cm,2
lepi088,2,2.45,cm,1
lepi088,3,3.0,cm,1
lepi088,4,3.4,cm,1
lepi088,5,4.2,cm,1
lepi088,6,2.8,cm,1
lepi088,7,3.2,cm,1
lepi088,8,0.92,cm,2
lepi088,9,0.88,cm,2
lepi088,10,0.72,cm,2
lepi088,11,0.68,cm,2
lepi088,12,2.3,cm,1
lepi088,13,2.85,cm,1
lepi089,1,0.92,cm,2
lepi089,2,0.95,cm,2
lepi089,3,2.3,cm,1
lepi089,4,2.25,cm,1
lepi089,5,2.3,cm,1
lepi089,6,1.9,cm,1
lepi089,7,2.1,cm,1
lepi089,8,0.84,cm,2
lepi089,9,2.1,cm,1
lepi089,10,2.1,cm,1
lepi089,11,2.3,cm,1
lepi089,12,2.3,cm,1
lepi089,13,2.4,cm,1
lepi089,14,2.1,cm,1
lepi089,15,0.96,cm,1
lepi089,16,2.1,cm,1
lepi089,17,0.97,cm,2
lepi089,18,2.05,cm,2
lepi089,19,0.95,cm,2
lepi089,20,3.1,cm,2
lepi090,1,0.39,cm,2
lepi091,1,0.44,cm,1
lepi092,1,0.66,cm,1
lepi093,1,0.79,cm,2
lepi093,2,0.90,cm,2
lepi093,3,0.81,cm,2
lepi093,4,0.90,cm,2
lepi093,5,0.70,cm,2
lepi093,6,0.82,cm,2
lepi094,1,3.6,cm,1
lepi094,2,0.38,cm,2
lepi094,3,0.45,cm,2
lepi094,4,2.55,cm,1
lepi095,1,7.3,cm,1
lepi096,1,3.3,cm,1
lepi096,2,4.5,cm,1
lepi097,1,0.85,cm,2
lepi097,2,0.88,cm,2
lepi097,3,0.94,cm,2
lepi097,4,0.75,cm,2
lepi097,5,0.64,cm,2
lepi097,6,0.80,cm,2
lepi097,7,2.2,cm,1
lepi097,8,0.89,cm,2
lepi097,9,0.66,cm,2
lepi098,1,2.75,cm,1
lepi099,1,0.49,cm,2
lepi100,1,0.49,cm,2
lepi101,1,0.52,cm,2
lepi102,1,0.63,cm,2
lepi102,2,0.77,cm,2
